Iteration-index		e_normA		r_norm2
275		4.5816947437		24.8216725530
276		4.5501158378		28.0537040782
277		4.5160484393		29.0693081883
278		4.4754154442		30.0107504769
279		4.4315603625		29.1596276499
280		4.3872160001		28.8116403190
281		4.3440329143		28.5815224843
282		4.3036518344		28.5194950657
283		4.2664044360		26.8333423561
284		4.2304397629		26.2363024467
285		4.1970066998		24.6619723893
286		4.1647985180		23.7540451557
287		4.1349552696		21.7049919589
288		4.1095166741		20.9131957034
289		4.0840835438		20.0545074255
290		4.0613245891		20.0184034351
291		4.0429853431		18.5804906135
292		4.0264555600		17.1418774398
293		4.0111643058		15.5300844484
294		3.9979956535		14.2261217150
295		3.9870282349		12.9951166042
296		3.9775190861		12.1561193322
297		3.9694585577		11.5572978961
298		3.9617010786		11.3155830878
299		3.9539682572		11.6496905802
300		3.9454841915		12.7438111725
301		3.9355591763		14.6212313460
302		3.9220898847		17.2720901086
303		3.9036000805		18.6038095945
304		3.8809190406		19.8780904645
305		3.8548906194		20.0854805142
306		3.8272171140		21.7264048604
307		3.7968646843		23.3530044840
308		3.7614915807		25.7570915451
309		3.7219884570		26.6074808086
310		3.6829325772		26.5798928353
311		3.6463048313		24.5145955110
312		3.6140810652		21.8297363170
313		3.5892146284		19.9328884278
314		3.5676105743		19.7046395669
315		3.5470154735		18.2320260077
316		3.5260761214		18.3855192232
317		3.5057661869		17.8317713485
318		3.4882602122		17.2587564361
319		3.4736835049		15.7409496484
320		3.4585468765		15.1003652389
321		3.4413478168		16.4470712703
322		3.4217481742		17.5669219192
323		3.3987060398		19.3790365037
324		3.3747506026		20.4956247088
325		3.3491899046		20.0327763337
326		3.3215254132		19.1764434017
327		3.2962025456		18.6595105335
328		3.2718439920		18.1572214050
329		3.2508397513		17.9753102889
330		3.2318620754		16.7191029432
331		3.2132311990		16.3901198417
332		3.1945006831		16.2137271527
333		3.1768832144		14.9340322938
334		3.1633332608		14.0889110758
335		3.1524393493		12.7155462084
336		3.1430526336		11.3656385120
337		3.1342601407		10.5974983972
338		3.1272616498		9.4636205602
339		3.1211979276		9.3019655042
340		3.1159194554		9.4820823616
341		3.1105767165		8.8615073822
342		3.1053765296		7.8424747608
343		3.1009882192		7.0809528942
344		3.0975543879		6.1518224988
345		3.0949003889		5.6788877042
346		3.0925394636		5.7992206792
347		3.0901997499		6.3238045515
348		3.0876451990		6.8780884723
349		3.0835980345		8.0055219792
350		3.0781744290		9.6319297962
351		3.0708471976		10.9785598985
352		3.0617616493		12.4222156667
353		3.0499531996		13.0431274944
354		3.0372716694		13.0140708282
355		3.0238691430		13.9643251910
356		3.0108011082		14.6992134350
357		2.9964096167		14.0413077787
358		2.9835683293		12.5259720171
359		2.9720125544		11.3921055815
360		2.9614996406		11.2664856720
361		2.9509899626		11.8547175297
362		2.9416289293		11.9907934661
363		2.9304786537		12.0800111221
364		2.9173049729		13.3657282588
365		2.9018385242		14.3139601083
366		2.8833456877		15.3284614225
367		2.8653896370		15.9617404847
368		2.8471890485		16.2318528915
369		2.8292807483		15.4170008297
370		2.8119589574		14.3390553844
371		2.7959963570		13.3023705292
372		2.7817594668		12.5655603806
373		2.7698193900		12.3882175541
374		2.7584917653		11.9622216954
375		2.7467545620		11.8304654554
376		2.7362809354		10.7573409167
377		2.7266356926		10.0085068645
378		2.7182631642		9.6786848887
379		2.7115856148		9.0140546795
380		2.7057834503		8.7720795848
381		2.7005125908		8.1633363824
382		2.6949403388		8.2176422208
383		2.6877487820		9.2337206117
384		2.6797438540		9.7092314373
385		2.6720418776		9.9038703701
386		2.6649383692		9.9201895395
387		2.6567974484		9.7925871220
388		2.6472904179		10.4523015455
389		2.6374871634		11.2759747389
390		2.6289638114		10.7555846131
391		2.6206178836		9.4732797197
392		2.6132264306		8.9050860812
393		2.6065833140		8.6137550307
394		2.6009918573		8.3267625389
395		2.5962682208		7.7269990620
396		2.5913793548		7.4152095486
397		2.5866160171		7.1660076480
398		2.5826160576		6.8705745953
399		2.5788032297		6.6364406912
400		2.5753477171		6.1861871229
401		2.5718302202		6.0507112212
402		2.5680816208		6.3160728682
403		2.5640415696		6.3903337293
404		2.5598180633		6.7141632547
405		2.5558853281		6.5609173245
406		2.5521303911		7.0979312188
407		2.5479802515		7.1582966144
408		2.5435679130		7.2246499096
409		2.5389835873		7.3261943225
410		2.5340594900		7.4303994268
411		2.5296614204		7.6790976140
412		2.5247176011		7.7938939686
413		2.5190780820		7.9331499065
414		2.5139025934		8.3384582845
415		2.5087272393		8.5091912932
416		2.5024862801		8.6288029783
417		2.4952133263		8.7728656955
418		2.4874771536		9.1930631623
419		2.4791846787		9.6397033252
420		2.4697712563		10.4612723280
421		2.4600760363		11.2755785871
422		2.4485329307		11.3071048447
423		2.4352069099		11.6131483981
424		2.4220532387		12.9242807715
425		2.4081300814		13.4486279320
426		2.3926774174		12.4875309720
427		2.3771880274		11.8030659581
428		2.3632160014		11.2900161486
429		2.3511815047		10.7271598759
430		2.3411253348		10.3145769213
431		2.3323990633		9.2919724771
432		2.3246557282		8.9894819599
433		2.3180111068		8.6319076057
434		2.3120280614		8.1679861650
435		2.3068051696		7.5003069402
436		2.3018577388		6.6670764970
437		2.2975374257		6.0428267558
438		2.2937156806		5.7006127578
439		2.2904137184		5.5468364637
440		2.2876113392		5.2217106106
441		2.2851418412		4.9799384889
442		2.2829130422		4.6475141329
443		2.2808756315		4.5229413777
444		2.2787821825		5.0345370961
445		2.2766340955		5.3694968121
446		2.2739351025		5.5654247774
447		2.2705519964		5.8442445709
448		2.2662316317		6.4255484156
449		2.2612629092		7.3119742165
450		2.2549748936		8.1501277470
451		2.2484408669		8.4061613250
452		2.2410361609		9.2147314804
453		2.2318748190		9.4329233843
454		2.2213954950		9.6679876309
455		2.2115838825		10.8771316630
456		2.2018302696		10.7246021891
457		2.1912028513		10.0941085694
458		2.1802417090		10.0118857603
459		2.1681349959		10.0993129739
460		2.1565832134		9.4198429227
461		2.1458318584		9.1472012008
462		2.1352646396		9.1921624264
463		2.1256409244		9.2617512098
464		2.1168943157		9.8081627270
465		2.1087103348		9.5269154736
466		2.1000684045		8.4590974619
467		2.0921842540		7.9057286299
468		2.0863875779		7.4841039267
469		2.0813904185		6.4179828605
470		2.0771757128		5.7682135230
471		2.0733993900		5.5996660919
472		2.0700718821		5.7058692856
473		2.0668186267		5.8227509120
474		2.0634854599		5.7396385440
475		2.0594342457		5.9233431750
476		2.0550472938		6.3825239755
477		2.0497624405		7.3961314514
478		2.0437784676		8.2955222754
479		2.0354927007		8.3235648106
480		2.0266677770		8.5240647793
481		2.0184032609		9.0203563216
482		2.0108926119		8.7846024993
483		2.0029465234		8.5372337699
484		1.9948451415		8.1962343244
485		1.9870963594		8.3694993942
486		1.9802775328		8.7205776214
487		1.9721534030		8.5665210878
488		1.9630553572		8.2891323066
489		1.9554261406		8.4120760066
490		1.9486745622		7.8563997901
491		1.9417221747		7.4975488618
492		1.9354646556		7.1014991896
493		1.9306621303		6.8147604218
494		1.9265335121		6.2157987575
495		1.9221684059		5.6941077483
496		1.9181917786		5.1414176123
497		1.9153444161		4.8994911303
498		1.9129508292		4.5166208923
499		1.9106849518		4.0331923679
500		1.9086182998		4.0239853131
501		1.9065767925		4.1998317873
502		1.9045439943		4.5413512098
503		1.9027255154		4.3653894541
504		1.9004723771		4.3931399279
505		1.8980428935		4.7434276603
506		1.8949741551		5.3088586950
507		1.8915948048		5.7136488851
508		1.8874656789		5.8349261193
509		1.8828860936		6.0913126881
